repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,direct_review_comment_flag,discussion_flag,rationale_flag,notes,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,285a3446e1eb7f65c4faed49125d111de1db286a,https://github.com/apache/kafka/commit/285a3446e1eb7f65c4faed49125d111de1db286a,True,Change Parameter Type,"producer : Producer<byte[],byte[]> to producerSupplier : ProducerSupplier in method public StreamTask(id TaskId, partitions Collection<TopicPartition>, topology ProcessorTopology, consumer Consumer<byte[],byte[]>, changelogReader ChangelogReader, config StreamsConfig, metrics StreamsMetricsImpl, stateDirectory StateDirectory, cache ThreadCache, time Time, producerSupplier ProducerSupplier, recordCollector RecordCollector, closeSensor Sensor) in class org.apache.kafka.streams.processor.internals.StreamTask",,,,,,,,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,285a3446e1eb7f65c4faed49125d111de1db286a,https://github.com/apache/kafka/commit/285a3446e1eb7f65c4faed49125d111de1db286a,True,Rename Method,public shouldCloseTaskAsZombieAndRemoveFromActiveTasksIfProducerGotFencedAtBeginTransactionWhenTaskIsResumed() : void renamed to public shouldCloseTaskAsZombieAndRemoveFromActiveTasksIfProducerGotFencedAtBeginTransactionWhenTaskIsSuspended() : void in class org.apache.kafka.streams.processor.internals.StreamThreadTest,,,,,,,,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,7ca1fee9d5d7793e01dc2ef6cffc2dee974f64b8,https://github.com/apache/kafka/commit/7ca1fee9d5d7793e01dc2ef6cffc2dee974f64b8,False,,,,,,,,,,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,364416ab2bc8dbf0f099c00c4c1437812e2ad2ca,https://github.com/apache/kafka/commit/364416ab2bc8dbf0f099c00c4c1437812e2ad2ca,False,Rename Method,public shouldCloseTaskAsZombieAndRemoveFromActiveTasksIfProducerGotFencedAtBeginTransactionWhenTaskIsSuspended() : void renamed to public shouldCloseTaskAsZombieAndRemoveFromActiveTasksIfProducerGotFencedInCommitTransactionWhenSuspendingTaks() : void in class org.apache.kafka.streams.processor.internals.StreamThreadTest,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,364416ab2bc8dbf0f099c00c4c1437812e2ad2ca,https://github.com/apache/kafka/commit/364416ab2bc8dbf0f099c00c4c1437812e2ad2ca,False,Extract Method,private setupStreamThread() : StreamThread extracted from public shouldCloseTaskAsZombieAndRemoveFromActiveTasksIfProducerGotFencedAtBeginTransactionWhenTaskIsSuspended() : void in class org.apache.kafka.streams.processor.internals.StreamThreadTest,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,3480c8bbd834bcaf32ebc3f564af3ffec3315820,https://github.com/apache/kafka/commit/3480c8bbd834bcaf32ebc3f564af3ffec3315820,False,Rename Method,public shouldAbortTransactionOnDirtyClosedIfEosEnabled() : void renamed to public shouldAbortTransactionAndCloseProducerOnUncleanCloseWithEosEnabled() : void in class org.apache.kafka.streams.processor.internals.StreamTaskTest,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,dfb389965e800b1b63a655207d4938982d072f42,https://github.com/apache/kafka/commit/dfb389965e800b1b63a655207d4938982d072f42,False,Extract Method,"private maybeAbortTransactionAndCloseRecordCollector(isZombie boolean) : void extracted from package suspend(clean boolean, isZombie boolean) : void in class org.apache.kafka.streams.processor.internals.StreamTask",true,true,false,true,false,true,review comment on avoiding a method call induced such a refactoring,
apache/kafka,5501,refactoring-inducing PR,https://github.com/apache/kafka/pull/5501,976f1fcfd9c94923f17b7e08d813a2662948610e,https://github.com/apache/kafka/commit/976f1fcfd9c94923f17b7e08d813a2662948610e,False,Rename Method,public shouldAbortTransactionAndCloseProducerOnErrorDuringCleanCloseWithEosEnabled() : void renamed to public shouldNotAbortTransactionAndNotCloseProducerOnErrorDuringCleanCloseWithEosEnabled() : void in class org.apache.kafka.streams.processor.internals.StreamTaskTest,true,false,false,false,false,false,Refactoring led by the author,
apache/flink,8620,refactoring-inducing PR,https://github.com/apache/flink/pull/8620,643c6bc4663813f658ace479e890f2bd65dc38de,https://github.com/apache/flink/commit/643c6bc4663813f658ace479e890f2bd65dc38de,True,Extract Method,"public createNoOpVertex(name String, parallelism int) : JobVertex extracted from public createNoOpVertex(parallelism int) : JobVertex in class org.apache.flink.runtime.executiongraph.ExecutionGraphTestUtils",,,,,,,,
apache/flink,8620,refactoring-inducing PR,https://github.com/apache/flink/pull/8620,a767cde47502bff7bda553b95b7a9ec3f6a03a12,https://github.com/apache/flink/commit/a767cde47502bff7bda553b95b7a9ec3f6a03a12,False,Rename Method,public setUp() : void renamed to public testWithCollocationConstraints() : void in class org.apache.flink.runtime.executiongraph.failover.adapter.DefaultFailoverTopologyTest,true,true,true,false,false,false,"a review comment asked for a test, só inducing such a refactoring",
apache/flink,8620,refactoring-inducing PR,https://github.com/apache/flink/pull/8620,a767cde47502bff7bda553b95b7a9ec3f6a03a12,https://github.com/apache/flink/commit/a767cde47502bff7bda553b95b7a9ec3f6a03a12,False,Extract Method,private createExecutionGraph(addCollocationConstraints boolean) : ExecutionGraph extracted from public setUp() : void in class org.apache.flink.runtime.executiongraph.failover.adapter.DefaultFailoverTopologyTest,true,true,true,false,false,false,Idem,
apache/dubbo,3257,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3257,78b3327d64f0e8d83df418dc06f009b8ec758380,https://github.com/apache/dubbo/commit/78b3327d64f0e8d83df418dc06f009b8ec758380,True,,,,,,,,,,
apache/dubbo,3257,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3257,482fe75594178a64b2a30a865531b64312bf85b9,https://github.com/apache/dubbo/commit/482fe75594178a64b2a30a865531b64312bf85b9,False,Rename Method,public hasParamter(key String) : boolean renamed to public hasParameter(key String) : boolean in class org.apache.dubbo.common.Parameters,true,true,false,true,false,false,a review comment indicated a lot of typos,
apache/dubbo,3257,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3257,482fe75594178a64b2a30a865531b64312bf85b9,https://github.com/apache/dubbo/commit/482fe75594178a64b2a30a865531b64312bf85b9,False,Rename Method,"public hasMethodParamter(method String, key String) : boolean renamed to public hasMethodParameter(method String, key String) : boolean in class org.apache.dubbo.common.Parameters",true,true,false,true,false,false,Idem,
apache/dubbo,3257,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3257,482fe75594178a64b2a30a865531b64312bf85b9,https://github.com/apache/dubbo/commit/482fe75594178a64b2a30a865531b64312bf85b9,False,Rename Parameter,"addionalParameterKeys : String[] to additionalParameterKeys : String[] in method public getParamsToRegistry(defaultKeys String[], additionalParameterKeys String[]) : String[] in class org.apache.dubbo.registry.integration.RegistryProtocol",true,true,false,true,false,false,Idem,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Extract Method,private extractValue(buffer ByteBuffer) : byte[] extracted from package deserialize(buffer ByteBuffer) : BufferValue in class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Extract Attribute,private NULL_VALUE_SENTINEL : int in class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Rename Variable,priorValueLength : int to valueLength : int in method private extractValue(buffer ByteBuffer) : byte[] in class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Rename Variable,priorValue : byte[] to value : byte[] in method private extractValue(buffer ByteBuffer) : byte[] in class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Extract Method,"private addValue(buffer ByteBuffer, newValue byte[]) : void extracted from package serialize(endPadding int) : ByteBuffer in class org.apache.kafka.streams.state.internals.BufferValue",,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Extract Variable,oldValue : byte[] in method package deserialize(buffer ByteBuffer) : BufferValue from class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Rename Variable,sizeOfPriorValueLength : int to sizeOfValueLength : int in method package serialize(endPadding int) : ByteBuffer in class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Rename Attribute,record : ContextualRecord to recordContext : ProcessorRecordContext in class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Change Attribute Type,record : ContextualRecord to recordContext : ProcessorRecordContext in class org.apache.kafka.streams.state.internals.BufferValue,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Change Variable Type,"serializedValue : byte[] to serialChange : Change<byte[]> in method public put(time long, key K, value Change<V>, recordContext ProcessorRecordContext) : void in class org.apache.kafka.streams.state.internals.InMemoryTimeOrderedKeyValueBuffer",,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Rename Variable,"serializedValue : byte[] to serialChange : Change<byte[]> in method public put(time long, key K, value Change<V>, recordContext ProcessorRecordContext) : void in class org.apache.kafka.streams.state.internals.InMemoryTimeOrderedKeyValueBuffer",,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Change Variable Type,serialized : byte[] to serialized : Change<byte[]> in method public shouldRoundTripOldNull() : void in class org.apache.kafka.streams.kstream.internals.FullChangeSerdeTest,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Change Variable Type,serialized : byte[] to serialized : Change<byte[]> in method public shouldRoundTripNewNull() : void in class org.apache.kafka.streams.kstream.internals.FullChangeSerdeTest,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,fe3c68b51abf5d9aba69d1581e57734ef4808574,https://github.com/apache/kafka/commit/fe3c68b51abf5d9aba69d1581e57734ef4808574,True,Change Variable Type,serialized : byte[] to serialized : Change<byte[]> in method public shouldRoundTripChange() : void in class org.apache.kafka.streams.kstream.internals.FullChangeSerdeTest,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,a46c0e1af8dd0a20eae0cf8b78d7d2dfa562c8b0,https://github.com/apache/kafka/commit/a46c0e1af8dd0a20eae0cf8b78d7d2dfa562c8b0,False,,,,,,,,,,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,6586caf872f399d5002633d906672fbf4bcf5e06,https://github.com/apache/kafka/commit/6586caf872f399d5002633d906672fbf4bcf5e06,False,Rename Method,package sizeBytes() : long renamed to package residentMemorySizeEstimate() : long in class org.apache.kafka.streams.state.internals.BufferValue,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,6586caf872f399d5002633d906672fbf4bcf5e06,https://github.com/apache/kafka/commit/6586caf872f399d5002633d906672fbf4bcf5e06,False,Rename Method,public sizeBytes() : long renamed to public residentMemorySizeEstimate() : long in class org.apache.kafka.streams.processor.internals.ProcessorRecordContext,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,6586caf872f399d5002633d906672fbf4bcf5e06,https://github.com/apache/kafka/commit/6586caf872f399d5002633d906672fbf4bcf5e06,False,Rename Method,package sizeBytes() : long renamed to package residentMemorySizeEstimate() : long in class org.apache.kafka.streams.state.internals.ContextualRecord,true,false,false,false,false,false,Refactoring led by the author,
apache/kafka,6848,refactoring-inducing PR,https://github.com/apache/kafka/pull/6848,166ec22f7b131b5f2501287ce2d7022e67575f0e,https://github.com/apache/kafka/commit/166ec22f7b131b5f2501287ce2d7022e67575f0e,False,Rename Parameter,"newValue : byte[] to value : byte[] in method private addValue(buffer ByteBuffer, value byte[]) : void in class org.apache.kafka.streams.state.internals.BufferValue",true,true,false,true,false,true,"Review comment directly inspired such a refactoring, providing a reason",
apache/brooklyn-server,964,refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/964,9539ccf65fecf5abd944b371ee36fb5a265484e7,https://github.com/apache/brooklyn-server/commit/9539ccf65fecf5abd944b371ee36fb5a265484e7,True,Extract Variable,"rebindOptions : RebindOptions in method public testRebindWithCatalogAndApp(mode RebindWithCatalogTestMode, osgiMode OsgiMode) : void from class org.apache.brooklyn.camp.brooklyn.catalog.CatalogYamlRebindTest",,,,,,,,
apache/brooklyn-server,964,refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/964,ff38a5c80c0d77b81316623d749b76bf3dd1a78e,https://github.com/apache/brooklyn-server/commit/ff38a5c80c0d77b81316623d749b76bf3dd1a78e,True,,,,,,,,,,
apache/brooklyn-server,964,refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/964,492ebd58552b8f691ee22e0dd76e535fea56ef2c,https://github.com/apache/brooklyn-server/commit/492ebd58552b8f691ee22e0dd76e535fea56ef2c,True,,,,,,,,,,
apache/brooklyn-server,964,refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/964,49ee11d6c90620cf935330249b1c6d5ea9351d27,https://github.com/apache/brooklyn-server/commit/49ee11d6c90620cf935330249b1c6d5ea9351d27,False,Rename Attribute,FEATURE_REFERENCED_OBJECTS_PERSISTENCE_PROPERTY : String to FEATURE_REFERENCED_OBJECTS_REPERSISTENCE_PROPERTY : String in class org.apache.brooklyn.core.BrooklynFeatureEnablement,true,true,false,true,false,true,"review comments regarding naming, providing reasons, so inducing all refactorings",
apache/brooklyn-server,964,refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/964,49ee11d6c90620cf935330249b1c6d5ea9351d27,https://github.com/apache/brooklyn-server/commit/49ee11d6c90620cf935330249b1c6d5ea9351d27,False,Rename Method,private addReferencedObjects(instance BrooklynObject) : void renamed to private addReferencedObjectsForInitialPersist(instance BrooklynObject) : void in class org.apache.brooklyn.core.mgmt.rebind.PeriodicDeltaChangeListener,true,true,false,true,false,true,Idem,
apache/brooklyn-server,964,refactoring-inducing PR,https://github.com/apache/brooklyn-server/pull/964,49ee11d6c90620cf935330249b1c6d5ea9351d27,https://github.com/apache/brooklyn-server/commit/49ee11d6c90620cf935330249b1c6d5ea9351d27,False,Rename Attribute,persistReferencedObjectsEnabled : boolean to rePersistReferencedObjectsEnabled : boolean in class org.apache.brooklyn.core.mgmt.rebind.PeriodicDeltaChangeListener,true,true,false,true,false,true,Idem,
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,https://github.com/apache/struts/commit/30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,True,Extract Method,"public serialize(object Object, cacheBeanInfo boolean) : String extracted from public serialize(object Object) : String in class org.apache.struts2.json.JSONUtil",,,,,,,,
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,https://github.com/apache/struts/commit/30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,True,Extract Method,"public serialize(object Object, excludeProperties Collection<Pattern>, includeProperties Collection<Pattern>, ignoreHierarchy boolean, excludeNullProperties boolean, cacheBeanInfo boolean) : String extracted from public serialize(object Object, excludeProperties Collection<Pattern>, includeProperties Collection<Pattern>, ignoreHierarchy boolean, excludeNullProperties boolean) : String in class org.apache.struts2.json.JSONUtil",,,,,,,,
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,https://github.com/apache/struts/commit/30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,True,Extract Method,"public serialize(object Object, excludeProperties Collection<Pattern>, includeProperties Collection<Pattern>, ignoreHierarchy boolean, enumAsBean boolean, excludeNullProperties boolean, defaultDateFormat String, cacheBeanInfo boolean) : String extracted from public serialize(object Object, excludeProperties Collection<Pattern>, includeProperties Collection<Pattern>, ignoreHierarchy boolean, enumAsBean boolean, excludeNullProperties boolean, defaultDateFormat String) : String in class org.apache.struts2.json.JSONUtil",,,,,,,,
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,https://github.com/apache/struts/commit/30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,True,Extract Method,"public serialize(writer Writer, object Object, cacheBeanInfo boolean) : void extracted from public serialize(writer Writer, object Object) : void in class org.apache.struts2.json.JSONUtil",,,,,,,,
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,https://github.com/apache/struts/commit/30df43f1fa01ecbbc021d47cadb3cd759bdba8f9,True,Extract Method,"public serialize(writer Writer, object Object, excludeProperties Collection<Pattern>, includeProperties Collection<Pattern>, excludeNullProperties boolean, cacheBeanInfo boolean) : void extracted from public serialize(writer Writer, object Object, excludeProperties Collection<Pattern>, includeProperties Collection<Pattern>, excludeNullProperties boolean) : void in class org.apache.struts2.json.JSONUtil",,,,,,,,
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,a778ba1a3d4ff03ed4103569937317bf1dafb2bd,https://github.com/apache/struts/commit/a778ba1a3d4ff03ed4103569937317bf1dafb2bd,False,Rename Attribute,debugMode : boolean to devMode : boolean in class org.apache.struts2.json.JSONResult,true,true,false,true,false,false,"review comments regarding naming (""Please rename..."", ""Can you rename...""?), so inducing refactorings",
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,88bfeb556d10dbb8ea4734e2e80dc40beca13645,https://github.com/apache/struts/commit/88bfeb556d10dbb8ea4734e2e80dc40beca13645,False,,,,,,,,,,
apache/struts,43,refactoring-inducing PR,https://github.com/apache/struts/pull/43,f18e24d2ac310a043025a8ace1c6b01d4dd179b6,https://github.com/apache/struts/commit/f18e24d2ac310a043025a8ace1c6b01d4dd179b6,False,Rename Method,public setDebugMode(val String) : void renamed to public setDevMode(val String) : void in class org.apache.struts2.json.JSONResult,true,true,false,true,false,false,Idem,
apache/cloudstack,2833,refactoring-inducing PR,https://github.com/apache/cloudstack/pull/2833,0ecc61aafa9c5d08e2da9603c4e10618c2ae35d8,https://github.com/apache/cloudstack/commit/0ecc61aafa9c5d08e2da9603c4e10618c2ae35d8,True,,,,,,,,,,
apache/cloudstack,2833,refactoring-inducing PR,https://github.com/apache/cloudstack/pull/2833,df9d31030ec06d55937918f6147653b131942dfa,https://github.com/apache/cloudstack/commit/df9d31030ec06d55937918f6147653b131942dfa,False,Change Variable Type,vm : VirtualMachine to vmType : VirtualMachine.Type in method public getEventType() : String in class org.apache.cloudstack.api.command.admin.diagnostics.RunDiagnosticsCmd,true,true,false,false,false,true,"review comment, in form of warning, about a better practice of programming (switch case against multiple if-else) led author to do these refactorings",
apache/cloudstack,2833,refactoring-inducing PR,https://github.com/apache/cloudstack/pull/2833,df9d31030ec06d55937918f6147653b131942dfa,https://github.com/apache/cloudstack/commit/df9d31030ec06d55937918f6147653b131942dfa,False,Rename Variable,vm : VirtualMachine to vmType : VirtualMachine.Type in method public getEventType() : String in class org.apache.cloudstack.api.command.admin.diagnostics.RunDiagnosticsCmd,true,true,false,false,false,true,Idem,
apache/cloudstack,2833,refactoring-inducing PR,https://github.com/apache/cloudstack/pull/2833,fa144f2f8b34b0f48378137ec6e93e4064081522,https://github.com/apache/cloudstack/commit/fa144f2f8b34b0f48378137ec6e93e4064081522,False,,,,,,,,,,
apache/dubbo,3174,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3174,d56d8d9d323958c8709d36aff0a0769019521d43,https://github.com/apache/dubbo/commit/d56d8d9d323958c8709d36aff0a0769019521d43,True,,,,,,,,,,
apache/dubbo,3174,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3174,abe5600e6c1ff0a594cad36b5f8b1cc029d7e9c1,https://github.com/apache/dubbo/commit/abe5600e6c1ff0a594cad36b5f8b1cc029d7e9c1,False,,,,,,,,,,
apache/dubbo,3174,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3174,c8c1f7b44c4fcb1db7a665d811917fa2d7aff31c,https://github.com/apache/dubbo/commit/c8c1f7b44c4fcb1db7a665d811917fa2d7aff31c,False,,,,,,,,,,
apache/dubbo,3174,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3174,6d1c1227b3aad22ecd54c050a9054d98799e63d7,https://github.com/apache/dubbo/commit/6d1c1227b3aad22ecd54c050a9054d98799e63d7,False,Change Variable Type,"startAttach : String to startTime : Long in method public onResponse(result Result, invoker Invoker<?>, invocation Invocation) : Result in class org.apache.dubbo.rpc.filter.TimeoutFilter",true,true,false,false,true,true,"extensive discussions (e.g., 7 comments) focused on a complex code logic (how to handle fix timeout) and questioned code logic decisions, so inducing the first 2 refactorings; then, after a few tests (done by a reviewer), a discussion led to revert these refactorings (two last refactorings)",
apache/dubbo,3174,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3174,6d1c1227b3aad22ecd54c050a9054d98799e63d7,https://github.com/apache/dubbo/commit/6d1c1227b3aad22ecd54c050a9054d98799e63d7,False,Rename Variable,"startAttach : String to startTime : Long in method public onResponse(result Result, invoker Invoker<?>, invocation Invocation) : Result in class org.apache.dubbo.rpc.filter.TimeoutFilter",true,true,false,false,true,true,Idem,
apache/dubbo,3174,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3174,a19cb2ab9426a76d68038634ccdb8488647f42d5,https://github.com/apache/dubbo/commit/a19cb2ab9426a76d68038634ccdb8488647f42d5,False,Change Variable Type,"startTime : Long to startAttach : String in method public onResponse(result Result, invoker Invoker<?>, invocation Invocation) : Result in class org.apache.dubbo.rpc.filter.TimeoutFilter",true,true,false,false,true,true,Idem,
apache/dubbo,3174,refactoring-inducing PR,https://github.com/apache/dubbo/pull/3174,a19cb2ab9426a76d68038634ccdb8488647f42d5,https://github.com/apache/dubbo/commit/a19cb2ab9426a76d68038634ccdb8488647f42d5,False,Rename Variable,"startTime : Long to startAttach : String in method public onResponse(result Result, invoker Invoker<?>, invocation Invocation) : Result in class org.apache.dubbo.rpc.filter.TimeoutFilter",true,true,false,false,true,true,Idem,
apache/dubbo,2445,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2445,5054b3b5cf13b22572297278daaae73530275abf,https://github.com/apache/dubbo/commit/5054b3b5cf13b22572297278daaae73530275abf,True,Change Variable Type,"remain : long to activesLimit : Semaphore in method public invoke(invoker Invoker<?>, invocation Invocation) : Result in class org.apache.dubbo.rpc.filter.ActiveLimitFilter",,,,,,,,
apache/dubbo,2445,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2445,5054b3b5cf13b22572297278daaae73530275abf,https://github.com/apache/dubbo/commit/5054b3b5cf13b22572297278daaae73530275abf,True,Rename Variable,"remain : long to activesLimit : Semaphore in method public invoke(invoker Invoker<?>, invocation Invocation) : Result in class org.apache.dubbo.rpc.filter.ActiveLimitFilter",,,,,,,,
apache/dubbo,2445,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2445,80e7a8ac356ba9135abb4c0ec0c3d1cdb4b96344,https://github.com/apache/dubbo/commit/80e7a8ac356ba9135abb4c0ec0c3d1cdb4b96344,False,,,,,,,,,,
apache/dubbo,2445,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2445,fc521dd13db5246b8d0e6dae87206f15929fd8f6,https://github.com/apache/dubbo/commit/fc521dd13db5246b8d0e6dae87206f15929fd8f6,False,Change Attribute Type,count : int to count : AtomicInteger in class org.apache.dubbo.rpc.filter.ActiveLimitFilterTest,true,false,false,false,false,false,refactoring led by the author,
apache/dubbo,2445,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2445,1b58dbe8a021582413945c1e769f6ab53d963fbc,https://github.com/apache/dubbo/commit/1b58dbe8a021582413945c1e769f6ab53d963fbc,False,Rename Variable,boockTime : long to blockTime : long in method public testInvokeTimeOut() : void in class org.apache.dubbo.rpc.filter.ActiveLimitFilterTest,true,false,false,false,false,false,refactoring led by the author,
apache/dubbo,2445,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2445,1b58dbe8a021582413945c1e769f6ab53d963fbc,https://github.com/apache/dubbo/commit/1b58dbe8a021582413945c1e769f6ab53d963fbc,False,Rename Variable,boockTime : long to blockTime : long in method public testInvokeNotTimeOut() : void in class org.apache.dubbo.rpc.filter.ActiveLimitFilterTest,true,false,false,false,false,false,refactoring led by the author,
apache/dubbo,2445,refactoring-inducing PR,https://github.com/apache/dubbo/pull/2445,43c377fb7f866c1a0ac4ada53382f8f20ff88a90,https://github.com/apache/dubbo/commit/43c377fb7f866c1a0ac4ada53382f8f20ff88a90,False,,,,,,,,,,
apache/kafka,4796,refactoring-inducing PR,https://github.com/apache/kafka/pull/4796,363159006d5389e0968a653a5d06e27c3fd87fa9,https://github.com/apache/kafka/commit/363159006d5389e0968a653a5d06e27c3fd87fa9,True,,,,,,,,,,
apache/kafka,4796,refactoring-inducing PR,https://github.com/apache/kafka/pull/4796,28fe14f3d5dd83c4a88a00c66eaca46d757428c0,https://github.com/apache/kafka/commit/28fe14f3d5dd83c4a88a00c66eaca46d757428c0,False,Rename Variable,entries1 : Collection<ConfigEntry> to entries : Collection<ConfigEntry> in method public shouldImplementEqualsProperly() : void in class org.apache.kafka.clients.admin.ConfigTest,true,true,false,true,false,true,"review comments about changing a type and using specific objects, providing a reason, induced refactorings",
